State,Coal,Oil,Gas,Renewables
AUS,1847.3,2400.3,1557.3,382.5
NSW,636.7,672.4,133.8,86.6
VIC,467.4,518.7,291.3,66.1
QLD,570.6,579.8,300.6,120.6
WA,136.2,405.5,644.1,25
TAS,10.5,38.1,13.4,45.9
SA,25.9,143.5,127.1,37.3
NT,0,42.3,46.9,1
