State,Coal,Oil,Gas,Renewables
AUS,1930,2315.1,1496.7,379.1
NSW,625.9,652.2,133.7,84.5
VIC,577.3,512.3,283.4,65.6
QLD,544.2,562.8,307.8,129.6
WA,145.9,410,594.7,24.8
TAS,10.7,36.9,12.6,41.9
SA,26.1,106.5,116.4,31.9
NT,0,34.4,48.1,0.8
