State,Coal,Oil,Gas,Renewables
AUS,1801.6,2407.3,1586.5,400.2
NSW,640.3,665,131.4,90.4
VIC,444.1,509,283.9,72
QLD,554,564.9,292.6,123.9
WA,126.8,442.2,668.7,27.3
TAS,10,40.3,10,46.6
SA,26.3,140.1,113.8,39
NT,0,45.8,86.1,1.1
