State,Coal,Oil,Gas,Renewables
AUS,1954.9,2276.7,1464.4,360.2
NSW,620.9,633.2,156.4,82.4
VIC,617.4,506.9,280.9,62.3
QLD,517.8,541.4,294.7,120.4
WA,136.4,402.5,562.8,21.9
TAS,9.7,38.1,12.4,40.9
SA,52.6,121.1,107.4,31.6
NT,0,33.4,49.8,0.7
