year,fuel,energy
2015-16,Coal,617.4
2015-16,Oil,506.9
2015-16,Gas,280.9
2015-16,Renewables,62.3
2016-17,Coal,577.3
2016-17,Oil,512.3
2016-17,Gas,283.4
2016-17,Renewables,65.6
2017-18,Coal,467.4
2017-18,Oil,518.7
2017-18,Gas,291.3
2017-18,Renewables,66.1
2018-19,Coal,444.1
2018-19,Oil,509.0
2018-19,Gas,283.9
2018-19,Renewables,72.0
2019-20,Coal,423.2
2019-20,Oil,454.0
2019-20,Gas,283.4
2019-20,Renewables,77.4
