year,fuel,energy
2015-16,Coal,136.4
2015-16,Oil,402.5
2015-16,Gas,562.8
2015-16,Renewables,21.9
2016-17,Coal,145.9
2016-17,Oil,410.0
2016-17,Gas,594.7
2016-17,Renewables,24.8
2017-18,Coal,136.2
2017-18,Oil,405.5
2017-18,Gas,644.1
2017-18,Renewables,25.0
2018-19,Coal,126.8
2018-19,Oil,442.2
2018-19,Gas,668.7
2018-19,Renewables,27.3
2019-20,Coal,119.5
2019-20,Oil,430.0
2019-20,Gas,693.4
2019-20,Renewables,29.1
