year,fuel,energy
2015-16,Coal,52.6
2015-16,Oil,121.1
2015-16,Gas,107.4
2015-16,Renewables,31.6
2016-17,Coal,26.1
2016-17,Oil,106.5
2016-17,Gas,116.4
2016-17,Renewables,31.9
2017-18,Coal,25.9
2017-18,Oil,143.5
2017-18,Gas,127.1
2017-18,Renewables,37.3
2018-19,Coal,26.3
2018-19,Oil,140.1
2018-19,Gas,113.8
2018-19,Renewables,39.0
2019-20,Coal,24.7
2019-20,Oil,135.8
2019-20,Gas,108.9
2019-20,Renewables,40.9
