year,fuel,energy
2015-16,Coal,620.9
2015-16,Oil,633.2
2015-16,Gas,156.4
2015-16,Renewables,82.4
2016-17,Coal,625.9
2016-17,Oil,652.2
2016-17,Gas,133.7
2016-17,Renewables,84.5
2017-18,Coal,636.7
2017-18,Oil,676.4
2017-18,Gas,133.8
2017-18,Renewables,86.6
2018-19,Coal,640.3
2018-19,Oil,665.0
2018-19,Gas,131.4
2018-19,Renewables,90.4
2019-20,Coal,606.6
2019-20,Oil,611.4
2019-20,Gas,132.9
2019-20,Renewables,95.6
